#cnt bytes time_avg time_min bandwidth
551 4408 1.07486e-05 1.05977e-05 4.15939e+08
556 4448 1.0778e-05 1.06096e-05 4.19242e+08
561 4488 1.0814e-05 1.06931e-05 4.19711e+08
566 4528 1.0867e-05 1.0705e-05 4.2298e+08
571 4568 1.08974e-05 1.07527e-05 4.24824e+08
576 4608 1.09212e-05 1.08004e-05 4.26652e+08
581 4648 1.0978e-05 1.0848e-05 4.28464e+08
586 4688 1.10159e-05 1.0848e-05 4.32152e+08
591 4728 1.10713e-05 1.08957e-05 4.33931e+08
596 4768 1.11307e-05 1.08957e-05 4.37603e+08
601 4808 1.1151e-05 1.09911e-05 4.37445e+08
606 4848 1.12514e-05 1.10507e-05 4.38705e+08
611 4888 1.12996e-05 1.10984e-05 4.40424e+08
616 4928 1.1343e-05 1.10984e-05 4.44029e+08
621 4968 1.13945e-05 1.11938e-05 4.43819e+08
626 5008 1.14244e-05 1.12414e-05 4.45495e+08
631 5048 1.15252e-05 1.1301e-05 4.46685e+08
636 5088 1.15291e-05 1.1301e-05 4.50224e+08
641 5128 1.16382e-05 1.14441e-05 4.48091e+08
646 5168 1.16407e-05 1.14441e-05 4.51587e+08
651 5208 1.16869e-05 1.14918e-05 4.53194e+08
656 5248 1.1752e-05 1.15514e-05 4.54318e+08
661 5288 1.18554e-05 1.16944e-05 4.52181e+08
666 5328 1.18312e-05 1.15991e-05 4.59347e+08
671 5368 1.19495e-05 1.1754e-05 4.56694e+08
676 5408 1.19016e-05 1.16944e-05 4.62442e+08
681 5448 1.20137e-05 1.17898e-05 4.62094e+08
686 5488 1.20716e-05 1.18971e-05 4.61289e+08
691 5528 1.21325e-05 1.18971e-05 4.64652e+08
696 5568 1.22019e-05 1.19925e-05 4.64292e+08
701 5608 1.22966e-05 1.20044e-05 4.67163e+08
706 5648 1.23192e-05 1.20521e-05 4.68634e+08
711 5688 1.25169e-05 1.21951e-05 4.66416e+08
716 5728 1.24205e-05 1.21474e-05 4.7154e+08
721 5768 1.25741e-05 1.23024e-05 4.68852e+08
726 5808 1.25235e-05 1.22905e-05 4.72561e+08
731 5848 1.25029e-05 1.22905e-05 4.75816e+08
736 5888 1.25107e-05 1.22905e-05 4.7907e+08
741 5928 1.28131e-05 1.25051e-05 4.74048e+08
746 5968 1.28241e-05 1.26481e-05 4.71849e+08
751 6008 1.29788e-05 1.27435e-05 4.71457e+08
756 6048 1.29895e-05 1.28031e-05 4.72386e+08
761 6088 1.32489e-05 1.28508e-05 4.73746e+08
766 6128 1.33859e-05 1.30534e-05 4.69456e+08
771 6168 1.3584e-05 1.31488e-05 4.69093e+08
776 6208 1.37566e-05 1.34945e-05 4.6004e+08
781 6248 1.36371e-05 1.32561e-05 4.71331e+08
786 6288 1.35658e-05 1.33038e-05 4.72648e+08
791 6328 1.36693e-05 1.31488e-05 4.81261e+08
796 6368 1.37091e-05 1.31965e-05 4.82553e+08
801 6408 1.37039e-05 1.34468e-05 4.76544e+08
806 6448 1.37563e-05 1.35064e-05 4.77403e+08
811 6488 1.38533e-05 1.32442e-05 4.89877e+08
816 6528 1.36695e-05 1.33395e-05 4.89373e+08
821 6568 1.40164e-05 1.35541e-05 4.84577e+08
